transaction_id,customer_id,amount,currency,timestamp,timezone,status,product_category
TXN-00001,CUST-3176,298.19,USD,01/05/24 11:41 AM,Europe/London,failed,home
TXN-00002,CUST-8906,947.84,GBP,06-Jan-2024 04:32,America/Los_Angeles,pending,beauty
TXN-00003,CUST-7541,466.27,AUD,2024-02-07 20:32:57,America/New_York,failed,toys
TXN-00004,CUST-8503,614.09,CAD,2024-02-16 11:37:49,Europe/Paris,failed,clothing
TXN-00005,CUST-7554,681.66,GBP,05-Feb-2024 00:54,Asia/Tokyo,pending,sports
TXN-00006,CUST-8525,670.25,JPY,2024-01-10T07:14:13Z,UTC,failed,beauty
TXN-00007,CUST-8282,675.48,USD,2024-02-19T23:53:44,,pending,sports
TXN-00008,CUST-8537,788.67,CAD,03/09/24 09:39 PM,Australia/Sydney,completed,electronics
TXN-00009,CUST-8177,918.48,EUR,08-Mar-2024 17:58,,pending,electronics
TXN-00010,CUST-4648,403.86,AUD,13-Feb-2024 15:34,Asia/Tokyo,pending,beauty
TXN-00011,CUST-9932,928.34,JPY,01/19/24 09:42 AM,Europe/Paris,pending,home
TXN-00012,CUST-5601,862.33,EUR,03/04/24 09:18 PM,America/New_York,completed,home
TXN-00013,CUST-6236,911.71,JPY,2024-03-14 12:52:30,Australia/Sydney,failed,beauty
TXN-00014,CUST-6665,85.37,USD,28-Mar-2024 01:42,Australia/Sydney,completed,sports
TXN-00015,CUST-4108,991.16,EUR,2024-01-21T05:19:45Z,UTC,failed,electronics
TXN-00016,CUST-5058,758.18,AUD,2024-01-21T15:51:43Z,Asia/Tokyo,pending,home
TXN-00017,CUST-3454,655.37,JPY,2024-03-15 23:48:13,America/Los_Angeles,completed,clothing
TXN-00018,CUST-8840,687.66,USD,2024-02-26T02:25:34,Europe/Paris,failed,electronics
TXN-00019,CUST-2529,797.97,JPY,07-Jan-2024 00:52,America/New_York,pending,books
TXN-00020,CUST-8767,536.81,USD,02/11/24 09:04 PM,Asia/Tokyo,completed,sports
TXN-00021,CUST-3222,105.78,USD,2024-02-04T12:16:35Z,UTC,completed,toys
TXN-00022,CUST-2669,340.58,USD,2024-01-08T09:19:23Z,,pending,beauty
TXN-00023,CUST-7243,569.79,EUR,02/11/24 07:15 PM,America/Los_Angeles,completed,clothing
TXN-00024,CUST-7361,845.57,JPY,2024-02-29T01:50:53Z,Europe/London,failed,clothing
TXN-00025,CUST-3278,997.57,EUR,2024-01-11T09:25:24Z,Australia/Sydney,completed,clothing
TXN-00026,CUST-4637,828.94,EUR,2024-01-22T19:07:34,America/Los_Angeles,completed,books
TXN-00027,CUST-4851,608.22,GBP,03/03/24 04:44 PM,Australia/Sydney,failed,home
TXN-00028,CUST-4230,9.65,CAD,03/21/24 04:04 PM,America/Los_Angeles,failed,electronics
TXN-00029,CUST-9554,833.98,JPY,2024-03-19T19:52:50,,completed,clothing
